ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
465600,Male,Yes,40,Yes,Engineer,7.0,Low,2.0,Cat_3,B
466148,Male,Yes,41,No,Entertainment,0.0,Average,4.0,Cat_6,C
464488,Female,No,40,Yes,Artist,5.0,Low,9.0,Cat_6,C
463452,Female,Yes,79,Yes,Lawyer,0.0,High,2.0,Cat_6,C
461727,Female,No,52,Yes,Artist,1.0,High,3.0,Cat_6,C
460775,Male,Yes,59,Yes,Artist,0.0,Low,2.0,Cat_6,A
464203,Male,No,56,Yes,Artist,2.0,High,1.0,Cat_6,B
462002,Female,No,37,No,Artist,0.0,Low,2.0,Cat_6,D
461209,Female,No,31,No,Healthcare,9.0,Low,1.0,Cat_6,D
467399,Male,Yes,29,Yes,Doctor,1.0,Low,3.0,Cat_6,D
462053,Male,Yes,28,Yes,Artist,,Low,2.0,Cat_6,B
461121,Female,No,28,No,Doctor,0.0,Low,4.0,Cat_3,D
459335,Male,No,26,Yes,Healthcare,,Low,3.0,Cat_1,D
461863,Male,No,33,No,Doctor,2.0,Low,4.0,Cat_4,A
460651,Male,No,32,No,Homemaker,8.0,Low,,Cat_4,A
467333,Female,Yes,58,Yes,Artist,,Average,6.0,Cat_2,C
462801,Male,Yes,38,Yes,Entertainment,9.0,Average,3.0,Cat_1,B
465324,Male,Yes,41,Yes,Artist,8.0,Low,2.0,Cat_6,B
467753,Female,Yes,69,No,Artist,0.0,High,2.0,Cat_6,C
463253,Female,Yes,60,No,Doctor,0.0,Average,4.0,Cat_7,B
463445,Male,Yes,46,Yes,Artist,0.0,Average,3.0,Cat_6,A
467454,Female,Yes,51,Yes,Artist,1.0,Low,1.0,Cat_6,A
459219,Female,Yes,47,Yes,Artist,0.0,Average,3.0,Cat_6,C
464333,Male,Yes,60,Yes,Executive,0.0,High,3.0,Cat_6,B
464192,Female,Yes,61,No,Entertainment,0.0,High,3.0,Cat_6,D
462202,Female,No,43,Yes,Entertainment,1.0,Average,4.0,Cat_7,A
467222,Male,Yes,74,Yes,Entertainment,1.0,Average,2.0,Cat_6,A
459428,Female,Yes,43,No,Marketing,0.0,Low,2.0,Cat_4,D
466280,Male,No,33,No,Doctor,1.0,Low,2.0,Cat_3,B
467247,Female,No,26,No,Engineer,0.0,Low,2.0,Cat_6,D
462828,Female,No,25,No,Marketing,3.0,Low,3.0,Cat_5,D
466325,Female,No,25,No,Marketing,1.0,Low,2.0,Cat_3,A
465262,Male,Yes,60,Yes,Homemaker,7.0,Average,4.0,Cat_2,B
462385,Male,Yes,25,No,Doctor,4.0,Low,3.0,Cat_6,C
462231,Male,No,28,Yes,Artist,4.0,High,6.0,Cat_4,B
467037,Male,Yes,56,No,Lawyer,0.0,High,2.0,Cat_6,C
463012,Male,Yes,48,No,Homemaker,,Low,1.0,Cat_6,D
461796,Male,Yes,39,Yes,Artist,1.0,Average,2.0,Cat_1,A
466174,Female,No,20,No,Healthcare,8.0,Low,4.0,Cat_2,D
465035,Female,Yes,74,Yes,Lawyer,12.0,High,2.0,Cat_6,C
460060,Male,Yes,28,No,Engineer,6.0,Average,2.0,Cat_4,A
466136,Female,No,19,Yes,Artist,0.0,Low,2.0,Cat_6,A
465252,Female,No,20,No,Homemaker,8.0,Low,3.0,Cat_3,D
462391,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_6,C
466170,Male,Yes,74,Yes,Lawyer,1.0,Low,1.0,Cat_2,C
463852,Male,Yes,51,Yes,Entertainment,,High,4.0,Cat_6,D
460736,Male,No,19,No,Entertainment,0.0,Low,3.0,Cat_6,C
461128,Male,No,20,No,Healthcare,7.0,Low,3.0,Cat_6,D
465333,Female,Yes,37,Yes,Artist,2.0,Low,2.0,Cat_7,C
465664,Female,Yes,84,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
466901,Female,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_7,C
467458,Female,No,28,Yes,Entertainment,0.0,Low,2.0,Cat_1,D
467434,Male,Yes,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
463985,Female,Yes,29,Yes,Artist,4.0,Low,2.0,Cat_1,D
465261,Female,No,21,Yes,Artist,0.0,Average,4.0,Cat_1,D
466945,Male,Yes,61,Yes,Artist,0.0,Average,2.0,Cat_6,C
463631,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_3,D
463365,Female,Yes,67,No,Homemaker,1.0,High,2.0,Cat_6,D
466271,Male,No,33,No,Entertainment,1.0,Low,3.0,Cat_2,B
464955,Female,Yes,38,No,Engineer,1.0,Average,6.0,Cat_4,B
465636,Male,No,29,No,Healthcare,3.0,Low,3.0,Cat_4,D
463751,Female,,39,Yes,Doctor,5.0,Low,,Cat_2,B
461970,Male,No,38,Yes,Artist,9.0,Low,1.0,Cat_6,B
464708,Male,No,20,No,Healthcare,0.0,Low,8.0,Cat_4,D
462588,Male,Yes,41,No,Entertainment,12.0,Average,3.0,Cat_4,A
464618,Male,,35,Yes,Artist,5.0,Low,1.0,Cat_6,B
462279,Male,No,32,No,Healthcare,0.0,Low,7.0,Cat_6,D
459740,Female,No,20,Yes,Healthcare,0.0,Low,3.0,Cat_6,D
460719,Female,Yes,75,Yes,Lawyer,1.0,Low,,Cat_3,D
462174,Female,Yes,40,Yes,Engineer,8.0,Average,4.0,Cat_4,D
466312,Female,No,21,No,Healthcare,0.0,Average,3.0,Cat_4,D
459127,Male,No,43,Yes,Healthcare,1.0,Low,7.0,Cat_6,D
466058,Male,Yes,35,No,Entertainment,1.0,Low,,Cat_4,A
467371,Male,No,30,Yes,Healthcare,1.0,Low,4.0,Cat_6,B
464705,Male,No,32,No,Artist,3.0,Low,7.0,Cat_4,A
467108,Female,No,66,Yes,Artist,0.0,Low,1.0,Cat_4,D
462516,Female,No,28,No,Engineer,,Low,3.0,Cat_6,D
467863,Male,Yes,35,Yes,Doctor,0.0,Average,3.0,Cat_6,C
459784,Female,Yes,52,Yes,Engineer,0.0,High,5.0,Cat_6,B
466936,Male,Yes,55,No,Lawyer,1.0,High,3.0,Cat_5,C
462919,Female,Yes,37,Yes,Homemaker,13.0,Average,3.0,Cat_6,A
467812,Male,No,50,Yes,Artist,1.0,Low,1.0,Cat_2,B
460193,Male,No,42,Yes,Entertainment,3.0,Low,2.0,Cat_2,A
459124,Female,Yes,75,Yes,Artist,1.0,High,3.0,Cat_6,B
465205,Male,Yes,48,Yes,Entertainment,0.0,Low,2.0,Cat_6,D
460438,Male,Yes,58,No,Executive,0.0,High,4.0,Cat_3,B
465616,Male,Yes,42,Yes,Doctor,9.0,Low,2.0,Cat_6,C
466189,Female,Yes,56,Yes,Artist,0.0,Average,2.0,Cat_3,C
464619,Male,Yes,27,Yes,Entertainment,10.0,Low,2.0,Cat_6,B
459258,Female,Yes,74,Yes,Lawyer,1.0,High,,Cat_6,B
463003,Male,Yes,37,Yes,Artist,2.0,Average,2.0,Cat_6,C
461818,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,C
459640,Female,Yes,72,Yes,Doctor,,High,2.0,Cat_6,C
462062,Male,No,22,No,Healthcare,0.0,Average,3.0,Cat_7,D
463858,Female,Yes,38,No,Artist,0.0,Average,2.0,Cat_6,C
465213,Male,Yes,38,Yes,Entertainment,2.0,Average,2.0,Cat_6,B
459139,Female,Yes,53,Yes,Artist,1.0,Average,2.0,Cat_4,C
467959,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_2,A
463525,Female,Yes,40,No,Engineer,0.0,Low,3.0,Cat_6,A
459633,Male,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D
465495,Male,Yes,29,Yes,Homemaker,5.0,Low,2.0,Cat_4,A
459538,Male,No,45,Yes,Homemaker,11.0,Low,1.0,Cat_6,B
465341,Male,No,29,Yes,Healthcare,,Low,6.0,Cat_2,D
459955,Male,No,47,Yes,Marketing,1.0,Low,2.0,Cat_5,D
464920,Male,No,36,Yes,Artist,2.0,Low,1.0,Cat_4,B
463068,Male,Yes,26,Yes,Artist,9.0,Average,2.0,Cat_6,B
467028,Male,No,27,Yes,Artist,0.0,Low,1.0,Cat_6,D
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C
465031,Female,Yes,67,Yes,,1.0,Average,2.0,Cat_6,A
462681,Female,Yes,59,Yes,Entertainment,7.0,Average,2.0,Cat_6,B
463777,Female,Yes,47,Yes,Artist,2.0,Low,2.0,Cat_6,C
459345,Male,Yes,39,Yes,Artist,3.0,Low,1.0,Cat_6,B
461298,Female,Yes,78,Yes,Artist,1.0,High,2.0,Cat_6,C
466919,Male,Yes,19,No,Doctor,,Low,5.0,Cat_3,D
461492,Male,Yes,70,Yes,Entertainment,8.0,Average,2.0,Cat_6,C
459003,Male,Yes,51,Yes,Artist,0.0,High,5.0,Cat_4,C
464761,Female,Yes,50,No,Engineer,,Average,4.0,Cat_2,B
463240,Female,Yes,53,No,Engineer,0.0,Average,3.0,Cat_6,A
464735,Female,No,38,Yes,Marketing,8.0,Low,3.0,Cat_4,D
465632,Male,No,37,Yes,Artist,4.0,Low,7.0,Cat_7,A
461751,Female,Yes,63,Yes,Executive,1.0,Average,3.0,Cat_6,C
463168,Female,Yes,36,Yes,Doctor,7.0,Average,2.0,Cat_5,C
465637,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_4,D
464169,Male,,89,No,Lawyer,1.0,High,2.0,Cat_6,D
465540,Female,Yes,29,No,Engineer,,High,2.0,Cat_6,D
461439,Male,Yes,37,Yes,Artist,1.0,Average,2.0,Cat_6,C
460466,Female,No,19,No,Healthcare,8.0,Low,,Cat_6,D
466293,Male,Yes,79,No,Lawyer,0.0,High,2.0,Cat_6,B
465279,Male,Yes,53,Yes,Healthcare,0.0,High,4.0,Cat_5,A
461626,Male,Yes,68,Yes,Executive,0.0,Average,2.0,Cat_6,C
465892,Male,No,40,Yes,Artist,9.0,Low,3.0,Cat_6,A
460362,Male,Yes,59,No,Homemaker,0.0,Low,3.0,Cat_4,D
463636,Male,No,33,No,Doctor,1.0,Low,6.0,Cat_4,A
467527,Male,Yes,62,Yes,Artist,2.0,Average,4.0,Cat_6,B
466842,Female,No,19,No,Doctor,8.0,Low,5.0,Cat_2,D
459471,Female,No,32,No,Artist,,Low,8.0,Cat_6,C
466054,Female,Yes,33,No,Doctor,8.0,Average,4.0,Cat_4,D
459567,Male,Yes,48,Yes,Executive,1.0,Average,2.0,Cat_6,C
463528,Male,Yes,67,No,Executive,,High,2.0,Cat_6,A
462148,Male,Yes,62,Yes,Artist,0.0,Average,,Cat_4,C
464841,Male,,19,No,Entertainment,0.0,High,3.0,Cat_4,D
461338,Male,Yes,43,Yes,Artist,1.0,Average,4.0,Cat_6,C
467160,Male,Yes,40,No,,0.0,Average,2.0,Cat_5,A
460217,Male,No,45,Yes,Artist,1.0,Average,2.0,Cat_6,B
460051,Male,No,42,Yes,Artist,7.0,Average,1.0,Cat_6,A
466780,Female,No,36,Yes,Artist,11.0,Low,,Cat_6,A
461772,Female,Yes,41,Yes,Engineer,1.0,Average,3.0,Cat_4,B
464290,Female,Yes,41,Yes,Artist,0.0,Low,1.0,Cat_6,C
461055,Female,Yes,52,Yes,Engineer,,Average,3.0,Cat_3,B
460138,Male,No,33,Yes,Entertainment,9.0,Low,6.0,Cat_6,D
465353,Male,Yes,73,Yes,Artist,1.0,Average,2.0,Cat_3,C
465927,Female,No,25,Yes,Healthcare,0.0,Average,1.0,Cat_6,D
459239,Male,Yes,81,No,Entertainment,1.0,Low,1.0,Cat_6,A
461871,Male,Yes,53,Yes,Artist,0.0,Average,2.0,Cat_6,C
464680,Male,No,21,No,Healthcare,1.0,Low,5.0,Cat_4,D
467435,Female,No,30,No,Artist,0.0,High,,Cat_6,C
466769,Female,No,31,Yes,Entertainment,0.0,Low,4.0,Cat_6,A
460937,Male,Yes,43,No,Homemaker,1.0,High,9.0,Cat_6,B
463463,Male,Yes,32,No,Doctor,0.0,Low,2.0,Cat_6,A
465255,Male,No,21,No,Healthcare,9.0,Low,5.0,Cat_6,D
459021,Male,Yes,45,No,Artist,7.0,Low,2.0,Cat_2,A
459472,Female,Yes,79,No,Lawyer,,Low,2.0,Cat_6,A
463669,Female,Yes,32,Yes,Marketing,7.0,High,4.0,Cat_2,A
462308,Female,Yes,30,Yes,Healthcare,1.0,High,2.0,Cat_4,B
461017,Female,No,40,No,Homemaker,13.0,Low,1.0,Cat_3,A
464363,Female,Yes,41,Yes,Artist,9.0,Low,1.0,Cat_6,C
461275,Male,Yes,66,Yes,Marketing,1.0,High,2.0,Cat_6,B
459275,Male,No,18,No,Doctor,2.0,Low,4.0,Cat_6,D
463767,Male,Yes,32,Yes,Artist,9.0,Average,2.0,Cat_6,C
459433,Female,No,26,No,Doctor,1.0,Low,4.0,Cat_6,D
467784,Female,Yes,45,Yes,Artist,9.0,Low,1.0,Cat_7,C
464533,Male,Yes,37,No,Executive,,High,6.0,Cat_6,B
461853,Male,Yes,20,No,Healthcare,6.0,Low,3.0,Cat_6,D
463090,Female,Yes,55,No,Engineer,3.0,Average,2.0,Cat_6,B
466048,Male,No,25,No,Entertainment,3.0,Low,1.0,Cat_4,A
461215,Female,No,36,Yes,Artist,13.0,Low,1.0,Cat_6,D
459772,Female,Yes,69,Yes,Artist,2.0,Average,9.0,Cat_5,C
459897,Female,Yes,55,Yes,Artist,1.0,Low,2.0,Cat_6,C
465371,Female,No,43,Yes,Artist,0.0,Low,1.0,Cat_6,A
459278,Male,Yes,65,No,Executive,,High,2.0,Cat_6,A
466591,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_6,D
460048,Male,No,47,Yes,Doctor,1.0,Low,1.0,Cat_6,B
465278,Male,Yes,38,No,Marketing,,High,4.0,Cat_7,C
463702,Male,Yes,49,Yes,Artist,1.0,Average,4.0,Cat_7,B
460248,Female,No,33,Yes,Healthcare,7.0,Low,2.0,Cat_6,D
459815,Male,No,42,Yes,Artist,9.0,Low,1.0,Cat_6,A
462950,Female,No,29,Yes,Doctor,0.0,Low,5.0,Cat_3,D
467489,Male,No,30,Yes,Healthcare,0.0,Low,1.0,Cat_6,D
460559,Female,No,49,Yes,Healthcare,8.0,Low,1.0,Cat_3,D
461224,Female,Yes,33,No,Lawyer,8.0,High,2.0,Cat_6,D
464012,Female,Yes,75,Yes,Lawyer,3.0,High,2.0,Cat_6,A
461629,Male,Yes,53,Yes,Artist,0.0,Low,3.0,Cat_6,B
465445,Female,No,27,Yes,Homemaker,6.0,Low,7.0,Cat_6,B
465338,Male,Yes,47,Yes,Artist,13.0,Average,4.0,Cat_6,C
463865,Male,No,46,Yes,Artist,0.0,Average,5.0,Cat_6,B
467468,Female,No,27,No,Healthcare,,Low,5.0,Cat_7,D
466766,Male,Yes,73,Yes,Lawyer,1.0,High,4.0,Cat_6,C
465078,Male,Yes,45,Yes,Executive,0.0,High,4.0,Cat_6,B
459261,Female,No,32,Yes,Lawyer,0.0,Low,3.0,Cat_6,C
465734,Male,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_1,A
465074,Male,No,25,Yes,Artist,1.0,Low,4.0,Cat_6,A
465774,Male,No,28,Yes,Doctor,9.0,Low,4.0,Cat_6,D
461569,Male,Yes,63,Yes,Artist,1.0,Low,1.0,Cat_6,C
463261,Female,Yes,72,No,Entertainment,7.0,Average,3.0,Cat_6,B
466128,Male,No,35,Yes,Entertainment,4.0,Low,2.0,Cat_6,A
462358,Female,Yes,37,No,Marketing,4.0,Average,2.0,Cat_6,A
460785,Male,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_7,B
465118,Female,Yes,51,Yes,Artist,1.0,Average,6.0,Cat_6,C
459729,Female,No,41,Yes,Healthcare,1.0,Low,1.0,Cat_6,D
463035,Female,Yes,42,No,Homemaker,3.0,Average,4.0,Cat_6,D
460795,Male,Yes,62,Yes,Artist,1.0,Average,3.0,Cat_6,C
465331,Female,Yes,56,Yes,Artist,,Low,2.0,Cat_6,C
465512,Female,Yes,38,Yes,Entertainment,,Average,4.0,Cat_3,D
462835,Male,Yes,59,No,Executive,,Average,4.0,Cat_6,B
463102,Male,No,41,No,Entertainment,0.0,Low,2.0,Cat_6,D
466869,Male,Yes,29,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
465147,Male,No,29,Yes,Healthcare,2.0,Low,3.0,Cat_6,C
459901,Male,Yes,47,Yes,Artist,0.0,Average,3.0,Cat_6,C
463210,Male,Yes,84,,Homemaker,1.0,Low,1.0,Cat_6,A
461640,Male,Yes,52,Yes,Artist,1.0,Average,2.0,Cat_4,C
462211,Male,No,18,No,Executive,1.0,Low,3.0,Cat_4,D
465084,Male,Yes,61,Yes,Executive,5.0,Low,2.0,Cat_6,C
459575,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_1,A
463031,Male,No,38,Yes,Artist,1.0,Average,4.0,Cat_6,B
463987,Female,No,36,Yes,Artist,0.0,Low,1.0,Cat_6,B
466466,Female,,19,No,Healthcare,6.0,Low,5.0,Cat_3,D
463077,Male,No,28,No,Doctor,4.0,Low,3.0,Cat_6,C
459522,Male,Yes,47,Yes,Entertainment,,Average,4.0,Cat_6,B
466110,Male,Yes,77,Yes,Lawyer,0.0,Low,1.0,Cat_6,A
466882,Male,No,36,Yes,Artist,0.0,Low,,Cat_6,A
460727,Female,Yes,69,No,Executive,0.0,High,4.0,Cat_3,B
467354,Male,Yes,61,Yes,Doctor,3.0,Low,2.0,Cat_6,A
459338,Male,Yes,88,Yes,Executive,,Low,,Cat_6,D
462083,Male,Yes,19,No,Healthcare,1.0,Low,5.0,Cat_6,D
466046,Female,Yes,36,No,Entertainment,1.0,Average,2.0,Cat_2,A
466530,Female,No,21,No,Healthcare,1.0,Low,4.0,,D
465847,Female,No,40,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
459517,Male,No,31,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
466697,Female,No,31,No,Marketing,0.0,Low,3.0,Cat_6,D
467477,Male,Yes,44,Yes,Healthcare,5.0,Average,2.0,Cat_6,D
460739,Male,Yes,39,Yes,Executive,,High,5.0,Cat_6,A
463408,Male,No,33,No,Marketing,2.0,Low,3.0,Cat_6,D
462971,Female,Yes,70,Yes,Engineer,0.0,Low,1.0,Cat_6,C
465626,Female,No,42,Yes,Artist,7.0,Low,3.0,Cat_6,C
465735,Male,Yes,35,Yes,Artist,1.0,Low,2.0,Cat_3,B
465802,Male,Yes,25,Yes,Healthcare,9.0,Low,2.0,Cat_6,C
463895,Female,No,70,No,Doctor,0.0,Average,2.0,Cat_6,B
464084,Male,No,25,No,Healthcare,1.0,Low,5.0,Cat_4,D
464987,Male,No,50,Yes,Executive,1.0,High,5.0,Cat_6,B
463902,Female,Yes,41,Yes,Entertainment,,Average,4.0,Cat_6,C
463144,Male,Yes,45,Yes,Executive,1.0,High,3.0,Cat_6,C
461683,Male,Yes,43,Yes,Executive,1.0,Average,4.0,Cat_6,B
466425,Male,Yes,32,Yes,Entertainment,1.0,Average,2.0,Cat_3,A
467150,Female,No,42,Yes,Artist,8.0,Low,3.0,Cat_6,A
462553,Male,No,27,Yes,Artist,1.0,Low,1.0,Cat_6,B
465062,Male,Yes,56,No,Executive,0.0,Average,4.0,Cat_6,B
466062,Male,Yes,56,Yes,Artist,4.0,Low,3.0,Cat_3,B
461419,Male,Yes,27,No,Entertainment,3.0,Average,2.0,Cat_6,B
460454,Male,No,51,Yes,Artist,,Low,1.0,Cat_6,B
464273,Female,No,26,No,Artist,2.0,Low,2.0,Cat_6,D
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
461122,Male,Yes,26,No,Entertainment,8.0,Low,2.0,Cat_4,D
467538,Male,Yes,50,Yes,Artist,0.0,Low,3.0,Cat_6,B
460391,Male,Yes,21,No,Entertainment,0.0,Low,3.0,Cat_1,D
459883,Male,No,63,Yes,Artist,0.0,Low,1.0,Cat_2,B
464370,Male,Yes,65,No,Entertainment,0.0,Average,2.0,Cat_6,B
463060,Female,Yes,32,Yes,Homemaker,12.0,High,2.0,Cat_6,D
467164,Male,Yes,42,Yes,Artist,0.0,High,2.0,Cat_6,B
459896,Female,Yes,40,Yes,Artist,9.0,Low,2.0,Cat_6,C
459956,Female,Yes,39,Yes,Healthcare,8.0,Average,2.0,Cat_6,D
463842,Female,Yes,48,Yes,Engineer,0.0,High,4.0,Cat_6,B
462676,Female,Yes,48,Yes,Entertainment,,Average,4.0,Cat_6,A
461500,Female,Yes,28,No,Homemaker,0.0,Low,3.0,Cat_6,B
467951,Male,Yes,31,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
464080,Female,No,41,Yes,Artist,1.0,Low,2.0,Cat_6,C
466543,Male,No,31,Yes,Doctor,14.0,Low,2.0,Cat_7,A
466291,Male,No,22,No,Healthcare,,Low,,Cat_4,D
459457,Male,Yes,51,Yes,Artist,2.0,Low,2.0,Cat_6,A
462244,Male,Yes,81,No,Executive,1.0,High,3.0,Cat_6,B
466429,Male,Yes,36,No,Healthcare,1.0,Low,2.0,Cat_3,A
461610,Male,No,36,Yes,Doctor,0.0,Low,1.0,Cat_6,B
459775,Male,No,36,Yes,Artist,,Low,2.0,Cat_2,B
465485,Male,No,29,Yes,Lawyer,0.0,Average,4.0,Cat_6,D
466394,Female,Yes,42,No,Entertainment,6.0,Average,5.0,Cat_6,A
467397,Male,Yes,29,No,Doctor,8.0,Low,4.0,Cat_6,B
464118,Female,No,38,Yes,Entertainment,0.0,Low,2.0,Cat_6,D
461249,Female,No,53,Yes,Artist,1.0,Low,,Cat_7,D
462511,Female,Yes,66,Yes,Healthcare,1.0,High,2.0,Cat_6,C
464643,Female,Yes,79,Yes,Engineer,0.0,High,2.0,Cat_4,A
464844,Female,No,31,Yes,Healthcare,1.0,Low,4.0,Cat_4,D
461227,Male,No,20,No,Healthcare,0.0,Average,4.0,Cat_6,D
467029,Male,Yes,42,Yes,Artist,8.0,Average,2.0,Cat_6,C
464550,Male,Yes,50,Yes,Artist,,Low,4.0,Cat_6,C
462361,Male,Yes,60,Yes,Artist,0.0,Low,2.0,Cat_4,A
464175,Female,No,30,No,Healthcare,0.0,Low,,Cat_6,D
465242,Male,No,22,No,Healthcare,7.0,Low,4.0,Cat_3,D
460786,Male,Yes,72,No,Lawyer,1.0,High,2.0,Cat_6,B
461960,Male,Yes,57,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,A
465528,Female,Yes,46,Yes,,0.0,Low,2.0,Cat_6,C
467025,Female,No,25,Yes,Engineer,1.0,Low,3.0,Cat_6,D
460696,Male,Yes,73,No,Lawyer,1.0,Low,1.0,Cat_6,D
463323,Male,Yes,31,Yes,Healthcare,2.0,Low,2.0,Cat_6,D
464684,Female,No,40,No,Engineer,9.0,Low,5.0,Cat_4,A
464926,Male,Yes,46,No,Engineer,0.0,Low,3.0,Cat_4,A
467238,Female,No,31,No,Doctor,6.0,Low,4.0,Cat_6,D
459958,Male,No,37,Yes,Healthcare,8.0,Low,3.0,Cat_6,D
467855,Male,Yes,31,Yes,Engineer,1.0,Low,2.0,Cat_6,D
463562,Male,No,33,Yes,Entertainment,0.0,Low,4.0,Cat_1,C
